gene,MF.score
BMP4,0.00286134708722757
RARA,3.72646703006445e-4
RPS6KB1,2.09232021595801e-4
ANGPT2,1.18936646781463e-4
TDRD6,1.92212997669327e-5
DEAF1,1.49035645676938e-5
CXCL12,2.17360026703893e-4
HILS1,2.4109540648309e-5
CXCR4,1.18466888092441e-4
TIAL1,1.08451000749384e-5
BAX,0.00120003056722677
BCL2L1,5.0811252699233e-4
PRSS42,5.19608826207452e-6
DZIP1,7.21002622749615e-6
DND1,8.94567315985551e-5
TDRD7,2.81963194614653e-5
TDRD1,4.40126986654856e-5
MOV10L1,1.34975197523361e-5
CELF4,9.51405615535666e-5
LIN28A,9.92740565092849e-5
FOSL1,6.59660254313611e-5
ZMIZ1,4.60611948765195e-5
NRIP1,6.98649106965143e-5
AGT,0.00106748314175106
ADAMTS1,3.15979581447827e-5
NOS3,3.49835289433549e-4
SIRT1,0.00103169308231284
AFP,2.54846681133658e-5
PGR,9.16982652973548e-5
LEP,7.66214437481537e-4
MMP19,3.55431859208695e-5
IMMP2L,9.96236553263591e-5
IL4R,2.14606108658088e-4
CYP17A1,3.48050228307017e-4
HPGD,1.25437618496635e-4
PTGS2,5.57925451469525e-4
TNFAIP6,8.98381002422171e-6
M1AP,9.05754045853314e-5
MCM9,3.8247745237294e-5
MSH4,7.22186778313227e-5
PARN,2.88782061714147e-5
BMP15,8.9975621890052e-5
FSHB,9.22073469967651e-5
CGB,6.11063551058866e-6
FSHR,8.75296110995905e-5
DYNLL1,4.01138802809268e-5
TOB2,1.62282418997967e-5
USP9X,7.1545948238548e-5
BCL2L10,2.31389698956265e-5
MCM8,4.35152776024455e-5
TGFBR1,1.65549765841392e-4
ITGB1,5.11788113047427e-4
PPAP2A,2.30501283996791e-5
PPAP2B,3.03055192299035e-4
TGFB1,0.00158987501473493
CXADR,1.04919973260912e-4
FOXC1,1.87179508184298e-4
EIF2S2,6.11800828518024e-5
ASZ1,4.09774968974617e-5
MAEL,9.03302065321446e-5
TDRKH,5.21881913215997e-5
PIWIL4,5.92916745784257e-5
PRMT7,2.36077603581698e-4
FKBP6,3.93842441800337e-5
KDM1B,1.28166339515338e-4
TDRD12,2.05974207684095e-5
TDRD9,5.43373368865837e-5
CTCFL,2.83359475479071e-5
PICK1,1.63140637279539e-4
DNMT3A,2.33735101985495e-4
SHBG,7.3267481936823e-5
RHBDD1,7.03956576436839e-5
NPHP1,3.02720035933521e-5
SOX3,3.45665043637176e-5
MAST2,1.32335695561738e-5
SYCE3,2.82867358755913e-5
KATNAL1,2.22129192420977e-5
RBMY1B,4.56873334147186e-6
WIPF3,6.73471831636529e-6
TSPY2,1.44342693319481e-5
CD55,1.63298522807332e-4
GATA4,4.37441663701913e-4
SPATA31C2,1.13532910324928e-6
LIMK2,4.60126141916654e-6
BCAP31,8.9013391117748e-5
RAD18,3.55666233666582e-5
GAL3ST1,1.43638261823073e-4
NR2C2,1.48006460543726e-5
BCL2L11,7.08585874819655e-4
SKIL,6.51830684901502e-5
WDR48,4.48588132685448e-5
BCL6,3.01471565848802e-4
CLOCK,7.33287005430296e-5
BRDT,1.79031031862411e-4
PAIP2,2.48086855739097e-5
DDX4,5.39376813242781e-5
PGM3,1.55029721922567e-4
PRDM9,1.87964272356301e-4
HERC4,4.31942977971069e-6
CDC25C,1.28938474798328e-5
CDK16,2.62731809098396e-5
CYP26B1,3.09681393618552e-4
MERTK,9.5422503864101e-5
HSF1,8.27362362822936e-5
GLI1,1.20792791901247e-4
ARNTL,1.5692099335293e-4
CTSH,3.11862441209928e-4
KDM2B,2.06478588904674e-4
HMGA2,9.12495249160554e-4
BAG6,1.18354446143899e-4
B4GALNT1,1.03299227433059e-4
BTG1,4.49366613661629e-5
CNR1,2.53652847731639e-4
OVOL1,2.17396816042359e-4
SERPINA5,7.09393112922064e-4
YY1,7.38514099467923e-5
MST1,6.17716608481709e-6
TYRO3,7.24225320041794e-5
TSSK3,2.81993814908745e-6
RAD51C,2.11338778631873e-4
SPATA32,1.44381800797387e-6
KRT9,9.67458809651021e-6
ALKBH5,1.00768048606361e-4
PAFAH1B3,4.20951566804064e-5
FOXA3,1.02291846527283e-5
AXL,1.39388017836987e-4
USP9Y,1.79795109932514e-5
CIT,6.15762397687372e-5
BPY2,5.65008461478367e-5
EIF4G3,4.96580843151852e-5
SPAG9,8.5185348046326e-5
CTSL2,2.00631896932486e-4
HSF2BP,1.67108308963885e-6
CLDN11,9.04352766311126e-6
KHDRBS3,2.79181939888713e-6
DEDD,6.40565620395619e-5
CRTAP,1.14386840188392e-4
PIAS1,6.08260218268185e-5
OR7C1,2.72200112275427e-6
SOX30,3.29047326828501e-6
SBF1,1.15314049897845e-5
ADAMTS2,9.70006672385135e-6
SGPL1,1.21342608780933e-4
FSTL3,4.23059580798172e-5
HERC2,1.68235842065967e-5
PTTG1,1.15917626730982e-5
SOD1,4.75019754845197e-4
RBP4,3.31962901850137e-4
APOB,3.40285487684808e-4
MAS1,8.39150758072553e-5
PRM1,7.53058036466089e-6
PRM2,7.53058036466089e-6
ROS1,2.4151602698424e-5
SPATA31D3,1.13532910324928e-6
TSPY3,1.44342693319481e-5
TSPY4,1.44342693319481e-5
TSPY8,1.44342693319481e-5
TSPY10,1.44342693319481e-5
SPATA31C1,1.13532910324928e-6
IGF2R,7.57250709683773e-5
ZNF35,4.83080159242916e-6
TRIM27,1.32841001909446e-4
PGAM2,1.31412795494034e-4
H2AFX,3.90833185273157e-5
CSDA,1.81034424025566e-4
GGT1,1.66798545669444e-4
TBP,5.84568622906407e-5
PMCH,2.1463570418941e-5
MAK,1.7782828570858e-5
HIST1H1T,1.6567213210071e-5
PRKACG,5.91825829712394e-5
BRD2,1.00250359218708e-5
ACVR2A,1.54342824198982e-4
CALR,3.48516158895814e-4
SSTR1,5.51453021915292e-5
