gene,logFC
ACTC1,0.09996982479750828
ACTG1,0.3623148430870884
ACTG1|ACTG1P4,0.3343934145292456
ACTG2,1.1563089365857087
ACTL10,-0.261429932855796
ACTL6A,-0.197384662212663
ACTL6B,0.1817714681937348
ACTL7A,0.06840301930223372
ACTL7B,-0.26470250370151793
ACTL8,-0.2153696422127911
ACTN1,0.4485108207397841
ACTN2,0.19620639470367107
ACTN4,0.6828735564691976
ACTR10,0.1487453126890999
ACTR1A,0.5517138359721017
ACTR1B,-0.4784206462579592
ACTR2,1.424173356522162
ACTR3,1.1966115406037172
ACTR3B,-1.0965912190197187
ACTR3BP5|ACTR3BP2,0.10723669212882984
ACTR3C,-2.5702194388457116
ACTR5,-0.3648977426140705
ACTR6,-0.2115200017594265
ACTR8,0.12295436214122625
ACTRT2,-0.041966487196004855
ACTRT3,-1.4094619649239737
ACVR1,-0.4947213471739597
ACVR1B,-0.7231108560610544
ACVR1C,-1.7056462387380473
ACVR2A,-0.716035326111651
ACVR2B,-0.9850173853472821
ACVRL1,1.7218168676264354
ACY1|ABHD14A-ACY1,-1.2490234076800584
ACY3,-1.0609394440147706
ACYP1,0.4042259820007118
ACYP2,-1.0845094633400285
ADA,2.6901945999810377
ADAD1,0.1964405224522705
ADAD2,-0.3371221447691373
ADAL,-0.643193099665983
ADAM10,1.0470734280952603
ADAM11,0.1257246892587153
ADAM12,0.4176427874135735
ADAM15,0.11218673107963938
ADAM17,0.5334717673089558
ADAM19,0.20005144627920102
ADAM1A,-0.18057808882448068
ADAM20,0.09206604478651594
ADAM20P1,0.2512008718625532
ADAM21|ADAM21P1,-0.1541014363311125
ADAM22,-0.01145779750284781
ADAM28,2.1922064431755293
ADAM33,0.5229853079029754
ADAM5,-0.08147283139387329
ADAM7,-0.1818297738547361
ADAM8,0.5092587852364377
ADAM9,1.7805160922319376
ADAMDEC1,2.939769076089737
ADAMTS1,0.43043616426715975
ADAMTS10,-0.25369307746011294
ADAMTS12,0.3448517869069125
ADAMTS13,-0.4038723519175439
ADAMTS14,-0.09091838367697623
ADAMTS15,-0.2386269137153315
ADAMTS17,-2.5079351926442155
ADAMTS18,-0.012375241317960304
ADAMTS2,2.6504262313504356
ADAMTS3,-0.013017542180462752
ADAMTS5,0.7515470372897731
ADAMTS6,0.12692397106387374
ADAMTS7|ADAMTS7P1,-0.045207971839237165
ADAMTS8,-0.2908930244472877
ADAMTS9,1.2591666312719128
ADAMTSL1,-0.20336992566333267
ADAMTSL2,-0.22974416947626508
ADAMTSL3,-1.684692262503543
ADAMTSL4,-0.4152689226115492
ADAP1,0.7623304508612221
ADAP2,2.1280144814886572
ADAR,0.429764178097755
ADARB1,-0.4244918561293022
ADARB2,-0.23528544596822476
ADAT1,0.061615211395724935
ADAT2,0.3516904893124251
ADAT3,0.4528971506447523
ADCK1,0.13598173595961888
ADCK2,0.3567371254974003
ADCK5,-0.31826574954916176
ADCY1,-2.6379384197177593
ADCY10,-0.08477420846647166
ADCY10P1,-0.39634335956656397
ADCY10P1|NFYA,0.024201650970517158
ADCY2,0.25454302248966004
ADCY3,0.3921929189696348
ADCY4,0.5477476830405335
ADCY5,0.257773240561454
ADCY6,-0.7023998118351481
ADCY7,2.3807003990124476
ADCY9,-1.1677207182369689
